DateTimeIndex,Month,Year,Subsector,Sales
2012-09-01,Sep,2012,Motor Vehicle and Parts Dealers,264304
2012-09-01,Sep,2012,Nonstore Retailers,58904
2012-09-01,Sep,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",11706
2012-09-01,Sep,2012,Unknown,2011159
2012-10-01,Oct,2012,Building Material and Garden Equipment and Supplies Dealers,48689
2012-10-01,Oct,2012,Clothing and Clothing Accessories Stores,50182
2012-10-01,Oct,2012,Electronics and Appliance Stores,15314
2012-10-01,Oct,2012,Food and Beverage Retailers,147780
2012-10-01,Oct,2012,Food Services and Drinking Places,119779
2012-10-01,Oct,2012,Furniture and Home Furnishings Stores,32801
2012-10-01,Oct,2012,Gasoline Stations,48983
2012-10-01,Oct,2012,General Merchandise Stores,154185
2012-10-01,Oct,2012,Health and Personal Care Stores,42310
2012-10-01,Oct,2012,Miscellaneous Store Retailers,16729
2012-10-01,Oct,2012,Motor Vehicle and Parts Dealers,267210
2012-10-01,Oct,2012,Nonstore Retailers,64712
2012-10-01,Oct,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",10796
2012-10-01,Oct,2012,Unknown,2088296
2012-11-01,Nov,2012,Building Material and Garden Equipment and Supplies Dealers,46347
2012-11-01,Nov,2012,Clothing and Clothing Accessories Stores,58594
2012-11-01,Nov,2012,Electronics and Appliance Stores,20802
2012-11-01,Nov,2012,Food and Beverage Retailers,149523
2012-11-01,Nov,2012,Food Services and Drinking Places,117240
2012-11-01,Nov,2012,Furniture and Home Furnishings Stores,39101
2012-11-01,Nov,2012,Gasoline Stations,44434
2012-11-01,Nov,2012,General Merchandise Stores,177024
2012-11-01,Nov,2012,Health and Personal Care Stores,41021
2012-11-01,Nov,2012,Miscellaneous Store Retailers,15894
2012-11-01,Nov,2012,Motor Vehicle and Parts Dealers,258958
2012-11-01,Nov,2012,Nonstore Retailers,76178
2012-11-01,Nov,2012,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",13287
2012-11-01,Nov,2012,Unknown,2193067
2012-12-01,Dec,2012,Building Material and Garden Equipment and Supplies Dealers,41516
2012-12-01,Dec,2012,Clothing and Clothing Accessories Stores,81896
2012-12-01,Dec,2012,Electronics and Appliance Stores,27068
2012-12-01,Dec,2012,Food and Beverage Retailers,158846
2012-12-01,Dec,2012,Food Services and Drinking Places,126040
2012-12-01,Dec,2012,Furniture and Home Furnishings Stores,45957
2012-12-01,Dec,2012,Gasoline Stations,42582
2012-12-01,Dec,2012,General Merchandise Stores,221391
